id,name
30,Baringo
36,Bomet
39,Bungoma
40,Busia
28,Elgeyo-marakwet
14,Embu
7,Garissa
43,Homa Bay
11,Isiolo
34,Kajiado
37,Kakamega
35,Kericho
22,Kiambu
3,Kilifi
20,Kirinyaga
45,Kisii
42,Kisumu
15,Kitui
2,Kwale
31,Laikipia
5,Lamu
16,Machakos
17,Makueni
9,Mandera
10,Marsabit
12,Meru
44,Migori
1,Mombasa
21,Murang'a
47,Nairobi
32,Nakuru
29,Nandi
33,Narok
46,Nyamira
18,Nyandarua
19,Nyeri
25,Samburu
41,Siaya
6,Taita Taveta
4,Tana River
13,Tharaka-nithi
26,Trans Nzoia
23,Turkana
27,Uasin Gishu
38,Vihiga
8,Wajir
24,West Pokot
