id,county_id,subcounty_id,name,code,createdAt,updatedAt
1,1,1,Port Reitz,ward1,2023-08-10T09:40:57.909+03:00,2023-08-10T09:40:57.909+03:00
1420,47,284,Matopeni/spring Valley,ward1420,2023-08-10T09:40:59.449+03:00,2023-08-10T09:40:59.449+03:00
2,1,1,Kipevu,ward2,2023-08-10T09:40:57.925+03:00,2023-08-10T09:40:57.925+03:00
3,1,1,Airport,ward3,2023-08-10T09:40:57.926+03:00,2023-08-10T09:40:57.926+03:00
4,1,1,Changamwe,ward4,2023-08-10T09:40:57.927+03:00,2023-08-10T09:40:57.927+03:00
5,1,1,Chaani,ward5,2023-08-10T09:40:57.928+03:00,2023-08-10T09:40:57.928+03:00
23,1,5,Bofu,ward23,2023-08-10T09:40:57.939+03:00,2023-08-10T09:40:57.939+03:00
103,5,21,Basuba,ward103,2023-08-10T09:40:58.046+03:00,2023-08-10T09:40:58.046+03:00
106,5,22,Hindi,ward106,2023-08-10T09:40:58.054+03:00,2023-08-10T09:40:58.054+03:00
29,1,6,Shimanzi/ganjoni,ward29,2023-08-10T09:40:57.941+03:00,2023-08-10T09:40:57.941+03:00
30,1,6,Majengo,ward30,2023-08-10T09:40:57.942+03:00,2023-08-10T09:40:57.942+03:00
492,19,99,Rware,ward492,2023-08-10T09:40:58.558+03:00,2023-08-10T09:40:58.558+03:00
60,3,12,Shimo La Tewa,ward60,2023-08-10T09:40:57.982+03:00,2023-08-10T09:40:57.982+03:00
244,11,49,Cherab,ward244,2023-08-10T09:40:58.264+03:00,2023-08-10T09:40:58.264+03:00
595,22,119,Uthiru,ward595,2023-08-10T09:40:58.660+03:00,2023-08-10T09:40:58.660+03:00
1059,38,212,Wodanga,ward1059,2023-08-10T09:40:59.199+03:00,2023-08-10T09:40:59.199+03:00
370,15,74,Athi,ward370,2023-08-10T09:40:58.430+03:00,2023-08-10T09:40:58.430+03:00
1091,39,219,Khasoko,ward1091,2023-08-10T09:40:59.220+03:00,2023-08-10T09:40:59.220+03:00
20,1,4,Kadzandani,ward20,2023-08-10T09:40:57.937+03:00,2023-08-10T09:40:57.937+03:00
400,16,81,Mutituni,ward400,2023-08-10T09:40:58.464+03:00,2023-08-10T09:40:58.464+03:00
401,16,81,Machakos Central,ward401,2023-08-10T09:40:58.464+03:00,2023-08-10T09:40:58.464+03:00
539,21,109,Ng'araria,ward539,2023-08-10T09:40:58.613+03:00,2023-08-10T09:40:58.613+03:00
611,23,123,Kaeris,ward611,2023-08-10T09:40:58.675+03:00,2023-08-10T09:40:58.675+03:00
1067,38,213,Jepkoyai,ward1067,2023-08-10T09:40:59.204+03:00,2023-08-10T09:40:59.204+03:00
